ID,isocountrycode,rd2015,rd2014,rd2013,rd2012,rd2011,ns2015,ns2014,ns2013,ns2012,ns2011,emp2015,emp2014,emp2013,emp2012,emp2011,pubs.2011,pubs.2012,pubs.2013,pubs.2014,pubs.2015
ID0217,CH,72.825,41.792,36.741,43.491,40.347,1513.044,1279.61,900.678227,725.032348,733.690022,6213,5683,5514,4939,4514,26,27,36,32,32
ID0218,US,56.57896367,60.38289124,36.71235,21.24139,9.730081,NA,NA,NA,NA,NA,44,35,25,18,10,3,6,4,5,0
ID0219,JP,61.44769298,42.30993212,36.468999,30.663983,28.067908,565.4165502,492.169734,422.471592,380.397275,335.485868,2203,2060,1879,1696,1567,1,5,2,3,5
ID0220,SE,41.65231366,43.68422813,36.448554,34.021661,29.201737,1020.650997,948.2976814,901.461128,888.434918,866.423558,462,469,454,395,350,3,5,4,2,7
ID0221,US,NA,NA,36.408528,33.30578,44.919151,NA,NA,290.562693,286.622442,191.657608,NA,NA,639,NA,530,8,13,8,10,22
ID0222,FR,37.688,35.283,35.902,37.753,40.008,488.738,408.957,389.669,403.495,377.834,1542,1474,1395,1374,1346,18,19,14,11,8
ID0223,GB,21.01637067,34.8680665,35.703954,36.420421,31.524561,NA,444.4484333,412.32693,408.147537,370.055359,2386,2314,2142,2189,2081,11,16,16,17,22
ID0224,JP,55.21616379,42.06890901,35.601345,31.331938,29.720581,850.3247965,726.1965463,618.533777,554.348064,465.523741,1490,1239,1121,1050,991,2,0,2,3,8
ID0225,US,41.08769134,39.25678351,35.270105,29.950693,26.069901,NA,1341.646015,1176.312117,1089.045057,1020.09284,14000,7600,6000,6000,5000,9,10,2,5,5
ID0226,US,NA,NA,35.20847,NA,9.457618,NA,NA,197.913137,131.749695,43.788704,NA,NA,370,257,121,3,12,19,18,33
ID0227,CN,46.63619589,43.32569805,34.916978,20.687467,15.140533,1547.244489,1475.915322,1295.114571,1095.53069,771.249749,10836,10464,8801,6641,4131,0,1,2,2,1
ID0228,IN,NA,31.24968638,34.638304,33.588658,27.3107,NA,595.2131491,522.998794,409.542182,237.854842,NA,2420,3008,2976,2913,53,55,67,85,97
ID0229,US,36.404924,37.18441626,34.434777,27.404105,17.721703,40.20523154,13.67994392,25.705896,24.495686,42.198536,86,183,168,166,188,7,9,13,7,7
ID0230,US,NA,36.42014871,34.275978,41.897615,44.769053,NA,253.0775087,239.575816,214.35937,189.566389,NA,1100,1100,1100,875,26,30,17,24,31
ID0231,US,115.8277857,54.3753472,34.153434,17.878327,12.968603,26.28527474,22.23117758,15.165688,16.007542,10.650424,443,308,213,137,112,9,2,6,12,10
ID0232,JP,39.85424122,36.42207532,33.948672,31.290621,30.195725,944.7892625,883.8258343,876.557453,836.886399,903.227474,2804,2576,2364,2204,2414,4,8,6,4,8
ID0233,US,41.00720441,38.804314,33.888769,28.278588,25.698645,47.94579168,NA,NA,1.890363,0.179102,80,69,62,57,50,5,4,2,1,0
ID0234,US,36.81098686,50.51268106,33.840912,30.849105,20.100066,117.8711484,135.472484,113.011387,194.117183,139.919516,212,241,226,193,NA,14,11,8,7,13
ID0235,IE,79.94566677,61.76567872,33.804656,14.84809,10.238562,960.6292683,850.4645394,632.603163,424.899583,197.430938,910,870,810,610,431,4,3,5,23,27
ID0236,US,NA,NA,33.740846,36.636213,38.853601,NA,NA,117.776814,65.040245,40.538758,NA,NA,570,594,382,22,22,28,21,19
ID0237,CN,37.51698273,33.18591558,33.531017,10.287001,10.828015,2233.516671,2193.497556,2057.406786,1402.872105,629.898816,14896,12196,11284,6035,5470,0,0,1,3,3
ID0238,GB,50.2721138,43.10743846,33.435141,36.898066,39.166879,85.97606137,69.25848764,43.585094,36.420421,39.405701,270,243,215,216,209,0,1,7,1,17
ID0239,US,NA,35.6210771,33.342036,35.720398,15.326663,NA,0.5800888,3.446451,33.492859,1.078239,NA,50,64,57,NA,9,17,16,20,24
ID0240,US,35.2621495,34.98442973,33.252122,29.657023,28.456965,819.9432261,822.1924619,806.365041,805.193987,806.913225,4600,5000,5000,5300,5300,3,3,4,1,4
ID0241,US,NA,30.30817577,32.810142,29.500274,25.621616,NA,211.4119072,204.491456,184.410432,158.438645,NA,660,639,581,536,7,7,10,9,16
ID0242,US,30.66494511,30.77008447,32.659706,29.566385,24.214343,172.3646926,164.5878649,154.755279,146.894355,133.666162,797,741,731,709,614,1,1,4,3,10
